reading,shift_x,shift_y,shift_z
UndergroundExcavation1.ply,130.98097112,318.93280158,14.0691498
UndergroundExcavation2.ply,140.53591101,321.31079085,12.96924719
UndergroundExcavation3.ply,131.33879255,318.28521901, 9.74007496
UndergroundExcavation4.ply,129.41721704,321.2994725 ,10.50018639
UndergroundExcavation5.ply,138.74482231,320.95979109, 8.87318934
UndergroundExcavation6.ply,127.32547949,314.44737187, 5.93639556
UndergroundExcavation7.ply,131.28579431,317.8317232 , 4.9346873
UndergroundExcavation8.ply,131.42339938,318.37488826, 5.88377254
UndergroundExcavation9.ply,131.69365241,317.9913808 , 1.83175923
UndergroundExcavation10.ply,167.93494494,313.16951972,-0.67362993
UndergroundExcavation11.ply,109.44984795,319.11754245,-0.42632885
UndergroundExcavation12.ply,131.78307874,318.25909652,-1.46895232
